comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
"I am dying of laughter!",0,0,0,0,0,0
"That is a killer outfit you have on.",0,0,0,0,0,0
"You are absolutely killing it today!",0,0,0,0,0,0
"I am dead from this joke, it's so funny.",0,0,0,0,0,0
"I'm dying to see the new movie.",0,0,0,0,0,0
"He did a killer presentation at the conference.",0,0,0,0,0,0
"You crushed that performance, well done!",0,0,0,0,0,0
"I'm dead serious about this project.",0,0,0,0,0,0
"Hit me up when you arrive.",0,0,0,0,0,0
"You destroyed that guitar solo, amazing!",0,0,0,0,0,0
"I'm dying of thirst in this heat.",0,0,0,0,0,0
"That move was a total game killer, in a good way.",0,0,0,0,0,0
"I'm just dead tired after work.",0,0,0,0,0,0
"We really knocked it out of the park.",0,0,0,0,0,0
"That was a killer meal, thanks for cooking.",0,0,0,0,0,0
"I'm dying for some ice cream right now.",0,0,0,0,0,0
"You completely crushed the competition.",0,0,0,0,0,0
"He's a lady killer with those looks.",0,0,0,0,0,0
"I'm dead set on winning this race.",0,0,0,0,0,0
"That beat is killer, I can't stop dancing.",0,0,0,0,0,0
"I'm dying of boredom in this meeting.",0,0,0,0,0,0
"You killed it on the dance floor!",0,0,0,0,0,0
"This view is to die for.",0,0,0,0,0,0
"I'm dead certain I left my keys here.",0,0,0,0,0,0
"That joke was a real rib-killer.",0,0,0,0,0,0
"I'm dying to know what happens next.",0,0,0,0,0,0
"You are a lifesaver, thanks for the help!",0,0,0,0,0,0
"That was a killer pass in the game.",0,0,0,0,0,0
"I'm dead on time for our meeting.",0,0,0,0,0,0
"You crashed the party in a good way!",0,0,0,0,0,0
"I'm dying of curiosity!",0,0,0,0,0,0
"That's a killer car you've got there.",0,0,0,0,0,0
"You really hit the nail on the head.",0,0,0,0,0,0
"I'm dead tired, let's go home.",0,0,0,0,0,0
"That performance was a show-stopper.",0,0,0,0,0,0
"I'm dying to go on vacation.",0,0,0,0,0,0
"You are killing me with these jokes!",0,0,0,0,0,0
"That was a killer deal we got.",0,0,0,0,0,0
"I'm dead sure about this decision.",0,0,0,0,0,0
"You really hit it off with them.",0,0,0,0,0,0
"I'm dying to try that new restaurant.",0,0,0,0,0,0
"That was a killer workout session.",0,0,0,0,0,0
"You crushed the exam, congrats!",0,0,0,0,0,0
"I'm dead right about this.",0,0,0,0,0,0
"That was a killer speech.",0,0,0,0,0,0
"I'm dying of excitement!",0,0,0,0,0,0
"You killed that audition!",0,0,0,0,0,0
"That's a killer pair of shoes.",0,0,0,0,0,0
"I'm dead serious, let's do it.",0,0,0,0,0,0
"You really hit the jackpot.",0,0,0,0,0,0
"I am dying to see you again.",0,0,0,0,0,0
"That's a killer view from your balcony.",0,0,0,0,0,0
"You absolutely crushed it out there.",0,0,0,0,0,0
"I'm dead serious about our plans.",0,0,0,0,0,0
"That was a killer performance tonight.",0,0,0,0,0,0
